iter	Passed	Remaining
771	2973	767413
772	2977	767296
773	2981	767451
774	2985	767356
775	2988	767323
776	2992	767195
777	2996	767396
778	3000	767300
779	3003	767201
780	3007	767094
781	3010	767016
782	3014	767033
783	3018	766929
784	3021	766870
785	3025	766797
786	3029	766801
787	3032	766712
788	3036	766766
789	3040	766702
790	3044	766675
791	3048	766756
792	3051	766658
793	3055	766588
794	3059	766507
795	3063	766578
796	3066	766537
797	3070	766506
798	3074	766395
799	3077	766356
800	3083	766709
801	3086	766630
802	3090	766614
803	3093	766509
804	3098	766630
805	3101	766543
806	3105	766418
807	3108	766330
808	3113	766558
809	3116	766505
810	3120	766425
811	3123	766314
812	3127	766213
813	3131	766255
814	3134	766171
815	3138	766080
816	3141	766007
817	3146	766204
818	3150	766164
819	3153	766070
820	3157	766012
821	3161	766122
822	3165	766048
823	3168	765986
824	3172	765884
825	3176	765832
826	3181	766110
827	3184	766045
828	3188	765941
829	3191	765859
830	3195	765953
831	3199	765881
832	3203	765865
833	3206	765821
834	3212	766173
835	3215	766090
836	3219	766136
837	3223	766086
838	3226	765967
839	3230	766039
840	3234	766001
841	3238	765950
842	3241	765908
843	3246	766018
844	3249	765923
845	3253	765995
846	3257	765940
847	3261	766002
848	3265	765903
849	3268	765813
850	3272	765736
851	3275	765665
852	3280	765772
853	3283	765704
854	3287	765695
855	3291	765680
856	3295	765746
857	3298	765656
858	3302	765583
859	3306	765659
860	3310	765689
861	3314	765594
862	3317	765541
863	3321	765462
864	3324	765343
865	3329	765623
866	3333	765569
867	3336	765495
868	3340	765430
869	3344	765591
870	3348	765534
871	3351	765446
872	3355	765368
873	3360	765606
874	3363	765537
875	3367	765468
876	3371	765397
877	3374	765347
878	3379	765460
879	3382	765365
880	3386	765332
881	3389	765252
882	3393	765308
883	3398	765526
884	3403	765762
885	3407	765773
886	3411	765857
887	3415	765814
888	3418	765739
889	3422	765649
890	3426	765725
891	3431	765991
892	3435	765994
893	3439	765923
894	3443	766102
895	3447	766091
896	3451	766029
897	3454	765990
898	3459	766202
899	3463	766169
900	3466	766106
901	3470	766088
902	3475	766290
903	3479	766279
904	3483	766269
905	3486	766212
906	3490	766176
907	3494	766288
908	3498	766214
909	3502	766168
910	3506	766231
911	3510	766345
912	3514	766280
913	3517	766199
914	3521	766102
915	3525	766206
916	3528	766146
917	3532	766093
918	3536	765998
919	3540	766071
920	3544	766214
921	3548	766147
922	3551	766072
923	3555	765987
924	3560	766173
925	3563	766122
926	3567	766049
927	3570	765988
928	3575	766254
929	3580	766430
930	3584	766508
931	3588	766436
932	3592	766562
933	3597	766684
934	3601	766820
935	3606	766908
936	3610	767138
937	3614	767085
938	3618	767013
939	3621	766929
940	3625	766988
941	3629	766922
942	3632	766822
943	3636	766731
944	3640	766877
945	3644	766866
946	3648	766823
947	3651	766773
948	3655	766742
949	3659	766807
950	3663	766753
951	3666	766671
952	3670	766625
953	3674	766729
954	3678	766667
955	3682	766790
956	3686	766736
957	3690	766825
958	3694	766860
959	3698	766775
960	3701	766705
961	3705	766653
962	3709	766779
963	3714	766982
964	3718	766910
965	3721	766862
966	3726	766928
967	3729	766862
968	3733	766795
969	3736	766741
970	3741	766859
971	3745	766829
972	3749	766937
973	3753	766899
974	3757	766946
975	3760	766928
976	3764	766871
977	3768	766818
978	3771	766747
979	3775	766792
980	3780	766859
981	3783	766861
982	3787	766798
983	3791	766927
984	3795	766850
985	3799	766860
986	3803	766820
987	3807	766883
988	3810	766814
989	3814	766758
990	3818	766715
991	3821	766617
